State,Year,Forecasted_CVD_Deaths,Lower_80,Upper_80,Lower_95,Upper_95
Sikkim,2027,913.1551925558301,875.7978465517002,950.51253855996,856.0220621421654,970.2883229694949
Sikkim,2028,929.6569135958416,890.0334645658629,969.2803626258203,869.058077676965,990.2557495147182
Sikkim,2029,946.1586346358529,904.3918520737456,987.9254171979602,882.2818529496953,1010.0354163220104
Sikkim,2030,962.6603556758644,918.8549845651274,1006.4657267866013,895.6658218507893,1029.6548895009396
Tamil Nadu,2020,223957.1592826491,219604.4635324403,228309.85503285791,217300.28558717322,230614.032978125
Tamil Nadu,2021,227529.9405657262,221374.29920289718,233685.5819285552,218115.6995025795,236944.1816288729
Tamil Nadu,2022,231102.72184880328,223563.6316595525,238641.81203805405,219572.67838867023,242632.76530893633
Tamil Nadu,2023,234675.50313188037,225970.11163146276,243380.89463229798,221361.75574092858,247989.25052283215
Tamil Nadu,2024,238248.28441495745,228515.36083211613,247981.20799779877,223363.0623142431,253133.5065156718
Tamil Nadu,2025,241821.06569803454,231159.18210444215,252482.94929162692,225515.12186196318,258127.0095341059
Tamil Nadu,2026,245393.84698111162,233877.6964933314,256909.99746889184,227781.4146737149,263006.27928850835
Tamil Nadu,2027,248966.62826418874,236655.3455385307,261277.91098984677,230138.1461378953,267795.1103904822
